count,item_1,item_2,lift
6,Oreo Banana Shake (Milkshake),Strawberry Banana Shake (Milkshake),12.54635761589404
1,Rose,Strawberry Banana Shake (Milkshake),12.546357615894038
1,Choco-Dip Cookies Shake (Thickshake),Strawberry Shake (Thickshake),12.491208791208793
1,Cookest N Cream Shake (Milkshake),Peanut Butter Brownie Shake (Milkshake),12.38235294117647
1,Cold Coffee Cooler,Lemonade,12.288648648648648
1,Oreo Banana Shake (Milkshake),Snickers Shake (Milkshake),12.14423076923077
1,Chocolate Strawberry Shake (Milkshake),Oreo 'Go' Nuts Shake (Milkshake),12.14423076923077
1,Hazelnut Coffee,Oreo Banana Shake (Milkshake),12.14423076923077
1,Blackcurrent Shake (Milkshake),Pan Shake (Milkshake),12.14423076923077
1,Choco Chip Brownie (Milkshake),Kulfi Shake (Milkshake),12.028571428571428
1,Berryblast,Dates Shake (Milkshake),11.965263157894737
3,Mango Shake (Thickshake),Strawberry Shake (Thickshake),11.881881533101048
2,Chocolate Shake (Thickshake),Mango Shake (Thickshake),11.79761286974572
1,Blue Curacao Cooler,Coffee Brownie Shake (Thickshake),11.516717325227964
1,Belgium Dark Chocolate Brownie Shake (Milkshake),Chocolate Brownie (Milkshake),11.412650602409636
11,Belgium Dark Chocolate Brownie Shake (Thickshake),Nutella Brownie Shake (Thickshake),11.378378378378377
1,Nutella Brownie Shake (Milkshake),Strawberry Crunch Shake (Thickshake),11.276785714285715
1,Cookie N Cream Shake (Milkshake),Nutella Brownie Shake (Milkshake),11.276785714285715
1,Blue Curacao Cooler,Chocolate Brownie Shake (Thickshake),11.276785714285714
1,Dry Fruit Shake (Milkshake),Pan Shake (Thickshake),11.243323442136498
1,Dry Fruit Shake (Thickshake),Kulfi Nuts Shake (Thickshake),11.089756097560976
1,Coffee Brownie Shake (Thickshake),Mango (Milkshake),10.993230174081237
1,Blackcurrant Crunch Shake (Milkshake),Choco-Dip Cookies Shake (Milkshake),10.929807692307694
1,Coffee Shake (Thickshake),Kulfi Shake (Thickshake),10.877511961722488
1,Choco-A-List Shake (Milkshake),Choco-Chip Brownie Shake (Thickshake),10.794871794871796
1,Oreo Banana Shake (Thickshake),Strawberry Banana Shake (Milkshake),10.754020813623464
1,Choco Oreo Shake (Milkshake),Lichi,10.643258426966293
1,Nutella Brownie Shake (Thickshake),Oreo Brownie (Thickshake),10.438016528925619
1,Cookest N Cream Shake (Thickshake),Nutella Brownie Shake (Thickshake),10.438016528925619
3,Biscoff,Kitkat Shake,10.19157202630006
1,Choco-Chip Banana Shake (Milkshake),Snickers Shake (Milkshake),10.167262969588553
1,Chilli Guava Cooler,Chocolate Shake (Thickshake),10.077127659574467
1,Coffee Shake (Milkshake),Kulfi Shake (Thickshake),9.971052631578948
1,Blue Curacao,Ice Cream,9.8671875
1,Blue Curacao,Fruit A List Shake (Thickshake),9.8671875
1,Blue Curacao Cooler,Coffee Shake (Thickshake),9.841558441558442
1,Belgium Dark Chocolate Shake (Thickshake),Classic Lemonade Cooler,9.84155844155844
1,Belgium Dark Chocolate Shake (Thickshake),Cookest N Cream Shake (Thickshake),9.84155844155844
2,Belgium Dark Chocolate Shake (Thickshake),Mango (Milkshake),9.84155844155844
1,Choco Dip Cookies Shake (Milkshake),Strawberry Cooler,9.816062176165802
1,Blackcurrant Crunch Shake (Thickshake),Strawberry Cooler,9.816062176165802
1,Cookie N Cream Shake (Milkshake),Hazelnut Shake (Milkshake),9.698805460750854
1,Coffee Brownie (Thickshake),Mango Shake (Milkshake),9.68228279386712
2,Choco-Chip Banana (Thickshake),Mango Shake (Milkshake),9.68228279386712
2,Dry Fruit Shake (Milkshake),Oreo 'Go' Nuts Shake (Thickshake),9.637134378974142
1,Cookest N Cream Shake (Milkshake),Mango (Milkshake),9.568181818181817
1,Nutella Brownie Shake (Thickshake),Oreo Brownie (Milkshake),9.568181818181817
1,Nutella Brownie Shake (Thickshake),Snickers Shake (Thickshake),9.568181818181817
4,Belgium Dark Chocolate Brownie Shake (Thickshake),Choco Oreo Shake (Thickshake),9.526084223758643
1,Coffee Brownie (Milkshake),Strawberry Banana Shake (Milkshake),9.40976821192053
1,Belgium Dark Chocolate Brownie Shake (Thickshake),Fruit-A-List Shake (Thickshake),9.309582309582309
1,Chocolate Shake (Thickshake),Snickers Shake (Milkshake),9.301963993453356
1,Kulfi Nuts Shake (Milkshake),Oreo 'Go' Nuts Shake (Milkshake),9.286764705882353
1,Choco Dip Cookies Shake (Milkshake),Oreo Brownie Shake (Milkshake),9.286764705882351
5,Mango Shake (Thickshake),Strawberry Banana Shake (Milkshake),9.18026167016637
1,Belgium Dark Chocolate Brownie Shake (Milkshake),Bubblegum,9.13012048192771
5,Belgium Dark Chocolate Shake (Thickshake),Hazelnut Shake (Thickshake),9.02142857142857
1,Belgium Dark Chocolate Shake (Thickshake),Kitkat Shake (Milkshake),9.02142857142857
2,Mango Shake (Thickshake),Oreo Shake (Thickshake),8.943351691581434
1,Green Apple,Red Velvet Shake,8.943351691581434
3,Caramel Shake (Milkshake),Chilli Guava Cooler,8.93632075471698
1,Caramel Shake (Thickshake),Oreo Brownie Shake (Thickshake),8.915294117647058
1,Kulfi Nuts Shake (Thickshake),Oreo Brownie Shake (Thickshake),8.915294117647058
1,Blackcurrant Shake (Milkshake),Choco-Chip,8.908307210031348
2,Nutella Brownie Shake (Thickshake),Strawberry Banana Shake (Thickshake),8.832167832167832
1,Kulfi Nuts Shake (Milkshake),Kulfi Shake (Thickshake),8.797987616099071
2,Hazelnut Shake (Milkshake),Peanut Butter Shake (Milkshake),8.621160409556316
1,Chilli Guava Cooler,Coffee Shake (Thickshake),8.611363636363636
1,Chocolate Brownie (Thickshake),Oreo Shake (Milkshake),8.611363636363636
1,Hazelnut Shake (Thickshake),Peanut Butter Banana Shake (Milkshake),8.611363636363636
2,Oreo Banana (Milkshake),Wonder Vanilla Shake (Milkshake),8.591836734693878
1,Coffee Brownie Shake (Milkshake),Peanut Butter Shake (Milkshake),8.533783783783784
1,Blackcurrent Shake (Milkshake),Cold Coffee Cooler,8.533783783783784
1,Chocolate Brownie (Milkshake),Dry Fruit Shake (Milkshake),8.432492581602375
1,Blackcurrent Crunch (Milkshake),Dry Fruit Shake (Milkshake),8.432492581602375
1,Cookie N Cream Shake (Milkshake),Dry Fruit Shake (Milkshake),8.432492581602375
